frame;prep time;facedetect time;landmark time;waktu
165;0,0292439;0,0028272;0,0062864;01:21:59,
166;0,0053035;0,0109877;0,006595;01:21:59,
167;0,002461;0,0086768;0,007434;01:21:59,
168;0,0028235;0,007962;0,0067632;01:21:59,
169;0,0311681;0,0114426;0,0065889;01:21:59,
170;0,0061701;0,0129093;0,0067852;01:21:59,
171;0,0028843;0,0080646;0,0064398;01:21:59,
172;0,0025179;0,0052259;0,0039533;01:21:59,
173;0,0034141;0,011204;0,0039473;01:21:59,
174;0,0102688;0,0114435;0,0053762;01:21:59,
175;0,0023666;0,0055287;0,0054021;01:21:59,
176;0,0023965;0,0090071;0,0071846;01:21:59,
